VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
8851,30,119,0,98020.0,2025,20,148,1,0,34.0,0.0,21.0,275625381,360,72,53061050501.0
4115,16,27,0,98004.0,2023,39,97,0,1,0.0,0.0,41.0,262892458,270,73,53033023807.0
5241,16,198,0,98033.0,2021,39,100,0,1,0.0,0.0,48.0,151242178,280,73,53033022603.0
6030,16,377,0,98101.0,2023,39,100,0,1,0.0,0.0,43.0,244322256,342,57,53033008200.0
371,16,377,0,98104.0,2017,13,25,1,2,20.0,0.0,43.0,169954186,335,57,53033008500.0
5922,30,206,0,98258.0,2024,39,100,0,1,0.0,0.0,44.0,265065055,245,72,53061052505.0
6617,16,351,0,98059.0,2024,41,114,1,0,39.0,0.0,5.0,262648109,260,73,53033025101.0
5393,16,27,0,98004.0,2023,35,124,0,1,0.0,0.0,41.0,252198684,270,73,53033023601.0
4241,33,298,0,98516.0,2022,39,97,0,1,0.0,0.0,22.0,193639246,470,72,53067012225.0
397,13,293,0,98569.0,2025,13,51,1,0,37.0,0.0,24.0,275721512,553,40,53027000201.0
1281,16,377,0,98106.0,2013,8,159,1,0,38.0,0.0,34.0,196325727,347,57,53033011401.0
4156,30,134,0,98208.0,2019,39,97,0,0,220.0,0.0,38.0,257115001,269,72,53061041805.0
6006,17,20,0,98110.0,2023,39,100,0,1,0.0,0.0,23.0,253645052,405,72,53035090700.0
6716,24,220,0,98631.0,2012,41,113,1,2,6.0,0.0,19.0,264432003,548,47,53049950501.0
5400,0,219,0,99341.0,2022,35,124,0,1,0.0,0.0,9.0,230952816,95,0,53001950200.0
11105,16,252,0,98040.0,2024,5,78,0,1,0.0,0.0,41.0,270303820,282,73,53033024602.0
4047,30,134,0,98203.0,2021,5,162,1,2,17.0,0.0,38.0,131295545,286,72,53061040900.0
4179,33,298,0,98513.0,2024,39,97,0,1,0.0,0.0,2.0,270011311,480,72,53067012331.0
4135,16,377,0,98133.0,2025,39,97,0,1,0.0,0.0,46.0,275239408,346,57,53033000602.0
4788,16,77,0,98004.0,2015,39,98,0,0,208.0,0.0,48.0,178732025,270,73,53033024100.0
833,16,377,0,98118.0,2018,8,21,0,0,238.0,0.0,37.0,252577293,299,57,53033011001.0
5264,26,34,0,98391.0,2021,39,100,0,1,0.0,0.0,31.0,269691880,263,73,53053070208.0
515,26,34,0,98391.0,2023,13,58,0,1,0.0,0.0,31.0,264752078,263,73,53053070208.0
5998,30,206,0,98258.0,2023,39,100,0,1,0.0,0.0,44.0,260553016,245,72,53061052707.0
5274,16,377,0,98168.0,2021,39,100,0,1,0.0,0.0,34.0,144250480,338,57,53033026500.0
5170,3,64,0,98816.0,2020,39,99,0,0,289.0,0.0,12.0,100649090,151,66,53007960301.0
1833,16,377,0,98104.0,2015,31,92,0,0,84.0,0.0,43.0,176620132,335,57,53033008500.0
5492,4,383,0,98382.0,2024,39,37,0,1,0.0,0.0,24.0,272371704,519,35,53009001600.0
7627,30,134,0,98208.0,2023,17,85,0,1,0.0,0.0,21.0,252327449,269,72,53061041808.0
